Hu_0,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,Hu_8,Hu_9,Hu_10,Hu_11,Hu_12,Hu_13,Hu_14,Hu_15,Hu_16,Hu_17,Hu_18,Hu_19,Hu_20,Hu_21,Hu_22,Hu_23,Hu_24,Hu_25,Hu_26,Hu_27,cell_path,cell_label
0.0007113794005407289,6.345932686213123e-10,5.606196855044663e-13,2.221906285519724e-13,-1.4926807453362163e-26,-5.597181010885422e-18,7.698553007467299e-26,0.001554121857103102,6.571804707319613e-09,8.873028930021644e-12,4.493714869985097e-12,-5.6790033770828536e-24,3.3636469095439045e-16,2.780144775081101e-23,0.011350289376691126,1.2040344342945735e-06,2.06856333103906e-07,2.29493007828431e-07,9.757044214221333e-15,1.795249828092984e-10,4.9040943751874675e-14,0.0006944046255665748,3.428349044154948e-10,2.931647809144061e-13,1.2954179143009447e-13,-3.7652558598188765e-27,-2.395552691055415e-18,2.4962357393801623e-26,28-05-2024/ASC-H\10.png,ASC-H
0.002346650489651648,1.68091382431594e-07,8.539101813823608e-10,7.299869151180625e-10,5.763139023006292e-19,2.7300538770834034e-13,-5.477279349858066e-21,0.00153039508711931,1.6758962622497857e-07,3.9487143054885937e-10,7.132275134884702e-11,-1.0839430194838132e-20,-5.874984468218327e-16,5.076584613434992e-21,0.001454671388010438,1.1285220167004982e-09,7.10609854068401e-11,1.2731158105590181e-11,-3.550649877323235e-22,-4.1046336846847423e-16,-1.4339786799024211e-22,0.001871143611361732,1.0211090713253564e-07,4.6130431774155473e-10,2.0902213261139818e-10,6.019308979662466e-20,5.5409096138124905e-14,-2.428021622838689e-20,28-05-2024/ASC-H\10000.png,ASC-H
0.0019577762775835833,2.100915171989638e-08,4.479001346629319e-10,8.609503666412719e-10,-1.6318084386741643e-19,1.200676243392827e-13,5.091238547709364e-19,0.0022673178118981533,7.145798006411921e-08,1.1394796314649498e-09,1.1664050382984226e-09,-8.128389976212211e-19,-2.7975398383298175e-13,-1.0712269435534994e-18,0.001591381445634823,1.312875253551887e-08,5.441044109005045e-11,2.1646881483757198e-11,-7.128240539147198e-22,-2.282634170035782e-15,2.0926507204534978e-22,0.0017332662166745392,1.767821233168657e-08,1.9160588968655533e-10,4.934067951332494e-10,-4.5745845729237515e-20,6.550663287587262e-14,1.4464791734706293e-19,28-05-2024/ASC-H\10001.png,ASC-H
0.003572413902324793,1.1062389839108359e-06,6.526898024942339e-10,5.561568865224219e-10,-3.350629943063802e-19,-5.845639673523929e-13,3.442993730011318e-21,0.001905613582056658,9.802952205823039e-08,2.2130342448422151e-10,3.890342836255491e-10,1.0717282637520895e-19,9.87955388794264e-14,-3.9296381941538177e-20,0.0015714244342252294,1.7466764563919122e-09,3.4845292000483632e-12,2.4403740182167096e-11,2.2010526895908413e-22,1.3907495715994075e-16,-4.686101527387128e-23,0.0029808699054253867,5.543774498983066e-07,2.143159561363311e-10,2.4177188883182713e-10,-3.5119545982025465e-20,-1.6119580528057273e-13,4.237247566325491e-20,28-05-2024/ASC-H\10002.png,ASC-H
0.004789119058964897,1.669132891097763e-07,5.807150375698542e-10,3.1775609873192693e-09,4.2189466056568846e-18,-5.028587620826394e-13,9.120625406042818e-19,0.0013265385724756458,1.8195727754034865e-07,1.2625488539963984e-12,1.358765952342403e-11,-4.8151963798074075e-23,4.251802886016501e-15,-2.9131375389682967e-23,0.001336388227487982,1.616190650950055e-08,8.981829073346575e-12,8.806541792570925e-12,7.507781122367084e-23,5.515862089650439e-16,2.231250594387098e-23,0.0033630391471308084,1.290552248897839e-07,1.1786643112527739e-11,1.4430862447275945e-09,1.4641990371769157e-19,1.0416265411077487e-13,1.1824853316643518e-19,28-05-2024/ASC-H\10003.png,ASC-H
0.002631813247784669,1.7133610750600407e-07,3.245357657247526e-10,4.760677013820388e-10,-1.2328701865004298e-19,5.778240536081512e-14,-1.407710455512746e-19,0.0020372617006069564,6.296598048477722e-08,1.1402300106799066e-10,3.5078805186785756e-10,-6.512775565343718e-20,-6.992012859483248e-14,2.6080799762298604e-20,0.0017130801787276673,2.7588038973970728e-08,1.0436291462438612e-10,2.8213318270208352e-11,1.1827738476077912e-21,3.1965666954206285e-15,9.719990200856036e-22,0.002323400201361266,9.745678254842767e-08,1.2073981488692766e-10,2.2360848945077067e-10,-3.0704215649541866e-20,2.171644171669291e-14,-2.0179047259814947e-20,28-05-2024/ASC-H\10004.png,ASC-H
0.002107971018382509,3.3549096795773183e-09,8.152784162896065e-10,6.177033504143902e-10,4.352282778675936e-19,1.1382263775443108e-14,-5.223741275664267e-20,0.0023022667146972787,3.439285513470133e-07,6.486393663139543e-11,6.535698309762019e-10,-7.985408787949429e-21,1.0892577106840808e-13,1.3433019195996685e-19,0.0019377185114677962,2.7002555901929253e-08,1.8235068654188107e-10,5.0900510477253497e-11,4.195077572035935e-21,-8.361989114486053e-15,2.5394958494321735e-21,0.001899032737032179,4.218278219933846e-09,4.732415299591243e-10,3.4653585551256776e-10,1.4008267330939686e-19,1.0542494472453148e-14,-8.399255453240588e-21,28-05-2024/ASC-H\10005.png,ASC-H
0.0012665238929711622,8.42526978540203e-08,1.716636772283892e-10,5.627315531161028e-12,1.547819241935625e-22,2.5061903336809685e-16,8.144168882748328e-23,0.0017536991858566032,1.700800152164509e-07,2.0155571381989784e-12,2.431409139080525e-12,-1.0802798923579317e-24,-8.180939767594012e-16,-5.2729858488478345e-24,0.0026326323328287353,1.0903926934928993e-08,9.908252458991904e-10,8.300275725090857e-12,1.0069525850492352e-22,-8.500054361425335e-16,-7.459610733521062e-22,0.0011493969218430585,6.578089650280919e-08,1.0661135252086091e-10,4.4089684203736255e-12,5.230241579852289e-23,-1.624791756643876e-16,8.001052660459708e-23,28-05-2024/ASC-H\10006.png,ASC-H
0.001751043584132451,7.12030710895177e-08,8.151394600927201e-10,3.4868217144103377e-11,1.6229015740441073e-21,-9.087431619192327e-15,5.6499562574660246e-21,0.0026387460256499353,4.671324000712077e-07,3.2927615833973537e-10,4.283959133494835e-10,-1.6051919299869743e-19,-2.8528360183261964e-13,1.1020626293147393e-20,0.0021912210522175546,4.8896119933504944e-08,9.500085994093092e-10,1.9532514748309006e-11,-2.619426145872991e-21,-3.090975798546671e-15,4.670090208677281e-22,0.0015637870522034907,3.7891266378569256e-08,4.527822234110434e-10,2.8477637002859283e-11,2.6500356095534735e-21,-5.325140242135557e-15,1.8531512173152667e-21,28-05-2024/ASC-H\10007.png,ASC-H
0.0017134330549376435,1.356624712638226e-07,8.024545198782811e-11,7.205695930255826e-11,-3.4533495439666685e-21,-2.6410846598422657e-14,-4.254053543976872e-21,0.0028873727591781214,3.181369926119742e-08,7.952631756130199e-11,9.610786888445266e-10,-1.8199579248744537e-19,-7.462978924544353e-14,1.935840133689623e-19,0.0023883327152490713,5.82368087115948e-08,2.6154155038754646e-10,1.9610405120817636e-10,-8.365797998972413e-22,4.715283036623033e-14,-4.440410617060892e-20,0.001560716550622478,9.134949769782358e-08,4.0203840473828824e-11,4.637042120057809e-11,-1.570433864748223e-21,-1.4007828790667627e-14,-1.241901153117471e-21,28-05-2024/ASC-H\10008.png,ASC-H
